Global Question ID,Source Question Number,Paper ,Unit Name,Chapter Name,Subject / Title,Question Type,Question Text,Option 1,Option 2,Option 3,Option 4,Right Answer,Explanation,Correct Marks,Negative Marks,Difficulty
Q-00764,82,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about J. M. Synge are correct?
A. Synge was a key figure in the Irish Literary Revival.
B. He came from a wealthy Anglo-Irish background.
C. His plays focused on the lives of working-class Irish Catholics.
D. ""The Playboy of the Western World"" caused riots upon its release.
E. He co-founded the Abbey Theatre with W. B. Yeats and Lady Gregory.
Choose the correct answer from the options given below:","A, B, C and D only","A, B, D and E only","B, C, D and E only","A, B, C, D and E",4,"All statements are correct:
J. M. Synge was central to the Irish Literary Revival, came from an Anglo-Irish Protestant family, and depicted rural Irish life, especially Catholic peasantry.
His play ""The Playboy of the Western World"" (1907) provoked riots at the Abbey Theatre.
He co-founded the Abbey Theatre along with W. B. Yeats and Lady Gregory.",2,0,Medium
Q-00765,83,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about ""Riders to the Sea"" are correct?
A. ""Riders to the Sea"" is a one-act play by J. M. Synge.
B. It premiered in 1904 with Helen Laird as Maurya.
C. The play is set on the Aran Islands and written in Hiberno-English.
D. The central theme is the struggle against an impersonal sea.
E. Maurya’s final line is “No man at all can be living forever.”
Choose the correct answer from the options given below:","A, B and C only","A, C and D only","A, B, C, D and E","B, D and E only",3,"All statements are correct:
""Riders to the Sea"" (1904) is a one-act tragedy by J. M. Synge set on the Aran Islands.
It was first staged at the Abbey Theatre with Helen Laird as Maurya.
The play, written in Hiberno-English, dramatizes the tragic fate of Irish fisherfolk against nature’s indifference.
Maurya’s closing words express stoic resignation to death.",2,0,Easy
Q-00766,84,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about ""The Playboy of the Western World"" are correct?
A. The play was first performed at the Abbey Theatre, Dublin, in 1907.
B. It is a three-act play set in Michael James Flaherty’s public house in County Mayo.
C. Christy Mahon becomes a local hero after claiming to have killed his father.
D. Pegeen Mike falls in love with Christy, impressed by his bravery.
E. The play ends with Pegeen’s lament, “I’ve lost the only playboy of the western world.”
Choose the correct answer from the options given below:","A, B and C only","A, B, C and D only","A, B, C, D and E","B, D and E only",3,"All statements are correct:
""The Playboy of the Western World"" (1907) premiered at the Abbey Theatre and caused public riots.
It is a three-act comedy set in a Mayo public house, where Christy Mahon gains fame after claiming patricide.
Pegeen Mike’s affection turns to despair when the truth emerges, and the play ends with her lament.",2,0,Medium
Q-00767,86,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about Sean O’Casey are correct?
A. Sean O’Casey was an Irish playwright known for portraying Dublin slum life.
B. His first play, ""The Shadow of a Gunman"" (1923), was performed at the Abbey Theatre.
C. ""Juno and the Paycock"" (1924) and ""The Plough and the Stars"" reflect Irish revolutionary struggles.
D. He was born into an upper-class Anglo-Irish family and educated at Trinity College.
E. His works combine tragedy and comedy, depicting ordinary Irish resilience.
Choose the correct answer from the options given below:","A, B and C only","A, B, C and E only","A, C and D only","A, B and D only",2,"Correct statements:
O’Casey was an Irish dramatist known for realistic portrayals of Dublin’s working-class life.
His early plays ""The Shadow of a Gunman"", ""Juno and the Paycock"", and ""The Plough and the Stars"" were staged at the Abbey Theatre.
He mixed tragedy and comedy to reflect Irish life and social struggle.",2,0,Medium
Q-00768,87,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following are notable works of Sean O’Casey?
A. ""The Shadow of a Gunman"" (1923)
B. ""Juno and the Paycock"" (1924)
C. ""The Plough and the Stars"" (1926)
D. ""The Silver Tassie"" (1934)
E. ""The Playboy of the Western World"" (1907)
Choose the correct answer from the options given below:","A, B, C and D only","A, C, D and E only","A, B and E only","B, C, D and E only",1,"The major works of Sean O’Casey are:
""The Shadow of a Gunman"" (1923)
""Juno and the Paycock"" (1924)
""The Plough and the Stars"" (1926)
""The Silver Tassie"" (1934)
""The Playboy of the Western World"" is by J. M. Synge, not O’Casey.",2,0,Easy
Q-00769,88,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about ""Juno and the Paycock"" (1924) are correct?
A. It was produced in 1924 and published in 1925.
B. The play is set in Dublin slums during the Irish Civil War.
C. Juno is the only working family member holding the family together.
D. The son Johnny is killed by Republican soldiers.
E. The play celebrates Irish independence with optimism.
Choose the correct answer from the options given below:","A, B, C and D only","A, C, D and E only","A, B and E only","B, C, D and E only",1,"Correct statements:
""Juno and the Paycock"" was written by Sean O’Casey in 1924 and published in 1925.
It depicts the Dublin working class during the Irish Civil War.
Juno Boyle supports her disintegrating family while her son Johnny is tragically killed.
The play is tragic and critical, not celebratory of independence.",2,0,Medium
Q-00770,89,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about ""The Plough and the Stars"" (1926) are correct?
A. The play is set during the Easter Rising of 1916.
B. It premiered at the Abbey Theatre and caused nationalist riots.
C. Nora and Jack Clitheroe are central characters struggling to survive the war.
D. The play is the first in O’Casey’s Dublin trilogy.
E. Bessie Burgess, a Protestant, dies protecting Nora.
Choose the correct answer from the options given below:","A, B, C and E only","A, C, D and E only","A, B, D and E only","B, C, D and E only",1,"Correct statements:
""The Plough and the Stars"" (1926) is set during the Easter Rising of 1916.
It premiered at the Abbey Theatre and sparked nationalist riots.
Nora and Jack Clitheroe are the central couple.
Bessie Burgess, a Protestant, sacrifices her life saving Nora.
It is actually the third play in O’Casey’s Dublin trilogy, not the first.",2,0,Hard
Q-00771,90,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about George Bernard Shaw are correct?
A. He was born in Dublin in 1856, the son of a retired civil servant.
B. He joined the Fabian Society in 1884 and actively participated in its socialist work.
C. He wrote dramatic articles in ""The Saturday Review"" between 1895 and 1898.
D. His best-known novels are ""The Irrational Knot"" and ""Cashel Byron’s Profession.""
E. His novels were emotionally rich and sentimental in tone.
Choose the correct answer from the options given below:","A, B, C and D only","A, C, D and E only","A, B and E only","B, C, D and E only",1,"Correct statements:
Shaw was born in Dublin in 1856 to a civil servant’s family.
He joined the Fabian Society in 1884 and contributed to socialist debates.
He served as a drama critic for ""The Saturday Review"" (1895–1898).
His early novels include ""The Irrational Knot"" and ""Cashel Byron’s Profession,"" though his fiction was less acclaimed than his plays.",2,0,Medium
Q-00772,91,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements correctly describe the dramatic works of George Bernard Shaw?
A. ""Widowers’ Houses"" (1885) dealt with slum-property and exposed social corruption.
B. ""Mrs. Warren’s Profession"" was refused a license by the censor for its controversial theme.
C. ""Arms and the Man"" humorously ridiculed the so-called “glories” of war.
D. ""Candida"" (1894) is a romantic sentimental comedy.
E. ""Man and Superman"" (1903) is a short, one-act tragedy about politics.
Choose the correct answer from the options given below:","A, B, C and D only","A, C, D and E only","B, D and E only","A, B and E only",1,"""Widowers’ Houses"" was Shaw’s first play, exposing capitalist exploitation.
""Mrs. Warren’s Profession"" was censored for its discussion of prostitution and hypocrisy.
""Arms and the Man"" ridicules war romanticism and idealized heroism.
""Candida"" explores love and idealism through subtle romantic irony.
""Man and Superman"" is a philosophical comedy, not a one-act tragedy.",2,0,Medium
Q-00773,92,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about George Bernard Shaw’s plays are correct?
A. ""Mrs. Warren’s Profession"" (1893) is a problem play where Vivie discovers her mother’s brothel business.
B. In ""Mrs. Warren’s Profession"", Mrs. Warren declares, “Not easy to earn honestly.”
C. ""Arms and the Man"" (1894) takes its title from the opening words of Virgil’s ""Aeneid"".
D. In ""Arms and the Man"", Raina hides Bluntschli in her room during a battle and later chooses him for his honesty.
E. Both plays idealize romantic love and glorify war.
Choose the correct answer from the options given below:","A, B, C and D only","A, C, D and E only","B, D and E only","A, B and E only",1,"All four statements (A–D) are correct.
""Mrs. Warren’s Profession"" is a problem play that critiques social hypocrisy.
""Arms and the Man"" satirizes romantic idealism and takes its title from Virgil’s ""Aeneid"".
Both plays question rather than glorify love and war, opposing sentimentalism.",2,0,Medium
Q-00774,93,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements correctly describe George Bernard Shaw’s plays ""Candida"" (1894) and ""The Devil’s Disciple"" (1896)?
A. ""Candida"" is part of Shaw’s ""Plays Pleasant"" collection.
B. In ""Candida"", poet Marchbanks loves Candida and challenges Reverend Morell’s devotion.
C. ""Candida"" ends with Candida choosing Marchbanks for his passion and idealism.
D. ""The Devil’s Disciple"" is set during the Saratoga Campaign of 1777.
E. In ""The Devil’s Disciple"", Richard sacrifices himself for Reverend Anderson’s life and is later freed by the British.
Choose the correct answer from the options given below:","A, B, D and E only","A, C, D and E only","B, C and E only","A, B and C only",1,"Correct statements:
""Candida"" belongs to ""Plays Pleasant"".
In ""Candida"", Marchbanks loves her but she chooses her husband, not the poet.
""The Devil’s Disciple"" is an American Revolution drama (1777) showing self-sacrifice and moral irony.
Richard Dudgeon’s heroism reveals Shaw’s critique of conventional piety.",2,0,Medium
Q-00775,94,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about George Bernard Shaw’s play ""Man and Superman"" are correct?
A. The play was first published in 1903 and first performed in 1905.
B. Shaw subtitled it ""A Comedy and A Philosophy"".
C. The play’s central theme is the conflict between spiritual man and biological woman.
D. Act III, known as ""Don Juan in Hell"", draws on the legend of Don Quixote.
E. Ann Whitefield pursues John Tanner, who resists her due to his idealism and fear of marriage.
Choose the correct answer from the options given below:","A, B, C and D only","A, B, C and E only","B, D and E only","A, C and E only",2,"""Man and Superman"" (1903) explores the philosophical idea of the Life Force through witty comedy.
Shaw subtitled it ""A Comedy and A Philosophy"".
""Don Juan in Hell"" is an extended dream sequence reflecting on heaven, hell, and morality.
Ann Whitefield’s pursuit of Tanner symbolizes woman as the evolutionary agent of creation.",2,0,Hard
Q-00776,95,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"In George Bernard Shaw’s ""Man and Superman"", which of the following correctly match with their descriptions?
A. ""Don Juan in Hell"" — Philosophical debate on morality and the “Life Force.”
B. John Tanner — A philosopher and idealist opposing conventional marriage.
C. Ann Whitefield — Uses intelligence to win Tanner’s love and prove Shaw’s “Life Force.”
D. Jack Malone — Symbol of greed and corruption.
E. Important Line: “Life is the force that fights.”
Choose the correct answer from the options given below:","A, B, C and E only","A, C, D and E only","A, B and D only","B, C and E only",1,"""Don Juan in Hell"" is the play’s philosophical centerpiece.
John Tanner represents rational idealism.
Ann Whitefield embodies the creative Life Force.
Jack Malone is not a key figure here.
The line “Life is the force that fights” echoes Shaw’s evolutionary philosophy.",2,0,Medium
Q-00777,96,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements correctly describe George Bernard Shaw’s plays?
A. ""Major Barbara"" presents a moral conflict between wealth and social ethics.
B. In ""Major Barbara"", Barbara, a Salvation Army officer, rejects her father’s munitions wealth but later accepts his philosophy.
C. ""The Doctor’s Dilemma"" explores ethical choices in medicine when resources are scarce.
D. In ""The Doctor’s Dilemma"", Dr. Ridgeon must choose between saving a moral man and an immoral artist.
E. ""The Dark Lady of the Sonnets"" depicts a fictional meeting between Shakespeare and Queen Elizabeth I.
Choose the correct answer from the options given below:","A, B, C and E only","A, C, D and E only","B, C and D only","A, B, C, D and E",4,"All statements are correct:
""Major Barbara"" (1905) explores the moral dilemma between religion and capitalism.
""The Doctor’s Dilemma"" (1906) raises medical ethics questions.
""The Dark Lady of the Sonnets"" (1910) humorously imagines Shakespeare meeting Queen Elizabeth I.
All these plays merge wit with philosophical and moral inquiry.",2,0,Hard
Q-00778,97,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Who is the author of the short play ""The Dark Lady of the Sonnets""?
Choose the correct answer from the options given below:",Ben Jonson,George Bernard Shaw,Oscar Wilde,Oliver Goldsmith,2,"""The Dark Lady of the Sonnets"" (1910) was written by George Bernard Shaw.
It playfully imagines Shakespeare’s meeting with Queen Elizabeth I and the Dark Lady, blending humor with literary homage.",2,0,Easy
Q-00779,98,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements correctly describe George Bernard Shaw’s play ""The Dark Lady of the Sonnets"" (1910)?
A. The play features Shakespeare, a Beefeater, the Queen, and the Dark Lady.
B. The setting takes place at night outside the royal palace.
C. Shakespeare mistakes the Queen for his muse, the “Dark Lady.”
D. The play humorously critiques monarchy and advocates for a National Theatre.
E. The Queen inspires Shakespeare to write ""Hamlet.""
Choose the correct answer from the options given below:","A, B, C and D only","A, C and E only","B, D and E only","A, B, C, D and E",1,"A–D accurately summarize the play’s characters, setting, mistaken identity gag, and Shaw’s advocacy for a National Theatre.
E is incorrect; the Queen does not inspire Shakespeare to write ""Hamlet"" in the play’s action.",2,0,Medium
Q-00780,99,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"The concept of ""eugenics"" finds its illustration predominantly in the writings of
A. John Osborne
B. George Bernard Shaw
C. Eugene O’Neill
D. Harold Pinter
E. Arthur Miller
Choose the correct answer from the options given below.",A and B only,A and C only,B and C only,D and E only,3,The pairing given is B and C. Shaw engages directly with eugenic ideas in several prefaces and plays; the option also includes Eugene O’Neill in this pairing per the key provided.,2,0,Medium
Q-00781,100,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,Which among the following texts is not based on the theme of disability?,"""A Room Called Earth"" by Madeleine Ryan","""Tomorrow, and Tomorrow, and Tomorrow"" by Gabrielle Zevin","""Mrs. Warren’s Profession"" by G. B. Shaw","""We Are All the Same in the Dark"" by Julia Heaberlin",3,"""Mrs. Warren’s Profession"" addresses social hypocrisy and sex work economics, not disability.
The other listed contemporary works engage disability or neurodivergence as central themes or plot elements.",2,0,Medium
Q-00782,101,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about George Bernard Shaw’s ""Pygmalion"" (1912) are correct?
A. ""Pygmalion"" is a five-act play written by George Bernard Shaw.
B. It was first performed in England in 1914 starring Mrs. Patrick Campbell.
C. The play centers on Henry Higgins’s bet to transform Eliza Doolittle.
D. It is inspired by the Greek myth of Pygmalion and Galatea.
E. The musical adaptation ""My Fair Lady"" was released in 1956.
Choose the correct answer from the options given below:","A, B, C and D only","A, C, D and E only","A, B, C, D and E","B, C and D only",3,"All statements A–E are correct: five-act structure, 1914 London premiere with Mrs. Patrick Campbell, the Higgins–Eliza transformation plot, classical-myth inspiration, and the 1956 musical ""My Fair Lady.""",2,0,Easy
Q-00783,102,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"In Shaw’s ""Pygmalion"", which of the following pairs are correctly matched?
A. Henry Higgins — Professor of phonetics who trains Eliza Doolittle
B. Eliza Doolittle — A Cockney flower seller transformed into a refined woman
C. Henry Sweet — Real-life phonetician who partly inspired Henry Higgins
D. ""My Fair Lady"" — 1938 film version based on ""Pygmalion""
E. W. S. Gilbert — Author of ""Pygmalion and Galatea""
Choose the correct answer from the options given below:","A, B, C and E only","A, B and D only","B, C, D and E only","A, B, D and E only",1,"A, B, C, and E are correct. D is incorrect because the 1938 film was ""Pygmalion""; ""My Fair Lady"" is the 1956 stage musical (and 1964 film) adaptation.
E is correct: W. S. Gilbert wrote ""Pygmalion and Galatea"" (1871).",2,0,Medium
Q-00784,103,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about George Bernard Shaw’s ""Heartbreak House"" (1917) are correct?
A. The subtitle “A Fantasia in the Russian Manner on English Themes” refers to Anton Chekhov’s dramatic style.
B. The play portrays moral and social decay in England before World War I.
C. The central character, Ellie Dunn, arrives at Captain Shotover’s eccentric home.
D. The line “The house is falling to pieces!” symbolizes the collapse of English society.
E. The play is a one-act comedy written during Shaw’s early career.
Choose the correct answer from the options given below:","A, B, C and D only","A, B and E only","B, C, D and E only","A, C, D and E only",1,"A–D summarize the play’s Chekhovian subtitle, pre-war social critique, Ellie’s arrival at Captain Shotover’s house, and the symbolic line.
E is incorrect: it is a multi-act late-career play, not a one-act early work.",2,0,Medium
Q-00785,104,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"In ""Saint Joan"" (1923), which of the following are correctly matched?
A. Joan — Hears divine voices and leads the French army to victory.
B. The Dauphin — Later crowned Charles VII with Joan’s help.
C. Warwick and Cauchon — Represent English and Church authorities opposing Joan.
D. Shaw — Portrays Joan’s accusers as malicious villains without justification.
E. The play — Premiered after Joan’s canonization by the Catholic Church.
Choose the correct answer from the options given below:","A, B and D only","A, B, C and E only","B, C, D and E only","A, C, D and E only",2,"A, B, C, and E are correct. D is incorrect because Shaw presents Joan’s judges as acting sincerely within their historical frameworks rather than as simple villains.
The play followed Joan’s 1920 canonization and premiered in 1923.",2,0,Hard
Q-00786,105,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about Shaw’s ""The Apple Cart"" (1928) are correct?
A. ""The Apple Cart"" is a satirical comedy about political philosophies.
B. The play’s central conflict arises between King Magnus and Prime Minister Proteus.
C. The Queen, Jemima, represents the voice of democracy against monarchy.
D. King Magnus threatens to abdicate to assert royal independence.
E. The phrase “Don’t upset the apple cart” symbolizes maintaining political order.
Choose the correct answer from the options given below:","A, B, D and E only","A, C, D and E only","A, B, C and D only","B, C and E only",1,"A, B, D, and E are correct: the play satirizes political theory, pits Magnus against Proteus, uses abdication as leverage, and plays on the idiom as a symbol of order.
C is incorrect; Queen Jemima is not a democratic mouthpiece in opposition to monarchy.",2,0,Medium
Q-00787,67,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about English War Poets are correct?
A. Thomas Hardy wrote significant war poems related to the Napoleonic and Boer Wars.
B. Hardy’s ""The Dynasts"" (1904–08) focuses on the Napoleonic War.
C. Hardy’s war poems, including ""Drummer Hodge"", use the ordinary soldier’s viewpoint and colloquial speech.
D. The 1985 Poet’s Corner memorial commemorates 16 Great War poets including Wilfred Owen and Rupert Brooke.
E. Edward Thomas and Wilfred Owen both survived World War I.
Choose the correct answer from the options given below:","A, B, C and D only","A, C, D and E only","B, C, D and E only","A, B, D and E only",1,"Statements A, B, C, and D are correct.  
Thomas Hardy’s ""The Dynasts"" is an epic verse drama based on the Napoleonic Wars.  
His poems such as ""Drummer Hodge"" express compassion for common soldiers using plain, realistic diction.  
The 1985 Westminster Abbey memorial honors sixteen World War I poets including Owen and Brooke.  
Edward Thomas and Wilfred Owen both died in World War I.",2,0,Medium
Q-00788,68,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about Edmund Blunden and Rupert Brooke are correct?
A. Edmund Blunden’s ""Undertones of War"" (1928) is based on his World War I experiences.
B. Rupert Brooke is known as the idealistic war sonnet poet of World War I.
C. Brooke’s famous poem ""The Soldier"" reflects patriotic idealism.
D. W. B. Yeats described Brooke as “the handsomest young man.”
E. Brooke died in combat on the Western Front.
Choose the correct answer from the options given below:","A, B, C and D only","A, B, D and E only","B, C, D and E only","A, C, D and E only",1,"Statements A, B, C, and D are correct.  
Edmund Blunden’s ""Undertones of War"" is a memoir reflecting his trench experiences.  
Rupert Brooke’s ""The Soldier"" idealizes patriotic death.  
W. B. Yeats admired Brooke’s beauty and romantic heroism.  
However, Brooke died of illness en route to Gallipoli, not in combat.",2,0,Medium
Q-00789,69,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about Rupert Brooke’s poem ""The Soldier"" (1914) are correct?
A. ""The Soldier"" is the fifth poem in the 1914 sonnet series.
B. It is written in the Petrarchan (Italian) sonnet form.
C. The poem expresses patriotic idealism and glorifies sacrifice for England.
D. It contrasts sharply with Wilfred Owen’s ""Dulce et Decorum Est"" in tone and message.
E. It follows the strict Petrarchan division of problem and resolution.
Choose the correct answer from the options given below:","A, B, C and D only","A, C, D and E only","A, B and D only","B, C, D and E only",1,"Statements A, B, C, and D are correct.  
""The Soldier"" is the fifth sonnet in Brooke’s 1914 series and follows the Petrarchan structure.  
It expresses patriotic optimism about dying for one’s country and contrasts the realism of Owen’s anti-war poetry.",2,0,Medium
Q-00790,70,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about Robert Graves are correct?
A. Robert Graves was an English poet, novelist, and scholar.
B. ""I, Claudius"" (1934) is written as the autobiography of Emperor Claudius.
C. ""Good-Bye to All That"" (1929) is his war memoir expressing a “bitter leave-taking.”
D. ""The White Goddess"" is a historical novel about the Julio-Claudian dynasty.
E. He served as a British officer in World War I.
Choose the correct answer from the options given below:","A, B, C and E only","A, C, D and E only","B, C, D and E only","A, B and D only",1,"Statements A, B, C, and E are correct.  
Robert Graves was a war poet, novelist, and classical scholar.  
""I, Claudius"" is a fictional autobiography of the Roman emperor.  
""Good-Bye to All That"" recounts his war experiences and disillusionment.  
""The White Goddess"" (1948) is not a historical novel but a study of poetic myth and inspiration.",2,0,Medium
Q-00791,71,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about Wilfred Owen and his poem ""Strange Meeting"" are correct?
A. Wilfred Owen was an English poet known for exposing the cruelty of war.
B. ""Strange Meeting"" (1919) portrays a soldier meeting his enemy in the afterlife.
C. Owen’s poetry often used pararhyme, a distinctive sound device.
D. The line “I am the enemy you killed, my friend” appears in ""Dulce et Decorum Est"".
E. Siegfried Sassoon influenced Owen’s poetic development during his hospital stay.
Choose the correct answer from the options given below:","A, B, C and E only","A, C, D and E only","B, C, D and E only","A, B and D only",1,"Statements A, B, C, and E are correct.  
""Strange Meeting"" imagines a soldier encountering his fallen enemy in the afterlife.  
Owen’s use of pararhyme gives his poetry a haunting quality.  
The quoted line is from ""Strange Meeting"", not ""Dulce et Decorum Est"".  
Siegfried Sassoon mentored Owen during his recovery at Craiglockhart Hospital.",2,0,Hard
Q-00792,72,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about Wilfred Owen’s poem ""Dulce et Decorum Est"" are correct?
A. The title comes from Horace’s ""Ode 3.2"" and means “sweet and fitting.”
B. The poem describes a chlorine gas attack on British soldiers.
C. The full Latin phrase ""pro patria mori"" means “to die for one’s country.”
D. The poem glorifies patriotism and noble sacrifice in war.
E. Owen condemns the false idea that dying for one’s country is glorious.
Choose the correct answer from the options given below:","A, B, C and E only","A, B, D and E only","B, C, D and E only","A, C, D and E only",1,"Statements A, B, C, and E are correct.  
The poem’s Latin title ""Dulce et Decorum Est"" originates from Horace’s ""Odes"".  
Owen depicts a gruesome gas attack to expose the horror of war.  
He condemns the old patriotic lie—“It is sweet and fitting to die for one’s country.”",2,0,Medium
Q-00793,73,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following statements about Siegfried Sassoon are correct?
A. He was an English poet celebrated for his antiwar poetry.
B. He was awarded the Military Cross during World War I.
C. His notable works include ""The Old Huntsman"" (1917) and ""Counterattack"" (1918).
D. His antiwar protest led to his confinement in a sanatorium.
E. His final work was ""The Path to Peace"" (1960).
Choose the correct answer from the options given below:","A, B, C and D only","A, B, C and E only","A, C, D and E only","A, B, C, D and E",4,"All statements are correct.  
Siegfried Sassoon was one of the leading English war poets known for his bold antiwar stance.  
He received the Military Cross for bravery in World War I.  
His famous poetry collections ""The Old Huntsman"" and ""Counterattack"" exposed the futility of war.  
His public protest led to his confinement at Craiglockhart War Hospital.  
His later work, ""The Path to Peace"" (1960), reflected his enduring pacifist vision.",2,0,Medium
Q-00794,74,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following is not known as a “War Poet” in English Literature?
Choose the correct answer from the options given below:",Rupert Brooke,Siegfried Sassoon,Wilfred Owen,John Maxfield,4,"John Maxfield is not considered one of the English war poets.  
Rupert Brooke, Siegfried Sassoon, and Wilfred Owen are the best-known poets of World War I who depicted heroism, horror, and disillusionment through their works.",2,0,Easy
Q-00795,75,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Who among the war poets gained notoriety in 1917, when disenchanted with the war’s conduct, he drafted a letter of “wilful defiance of the military authority” (and was admitted to Craiglockhart to avoid court-martial)?
Choose the correct answer from the options given below:",Rupert Brooke,Siegfried Sassoon,Wilfred Owen,Isaac Rosenberg,2,"Siegfried Sassoon’s public “Soldier’s Declaration” of 1917 condemned the continuation of the war.  
To avoid court-martial, he was sent to Craiglockhart War Hospital, where he met and influenced Wilfred Owen.",2,0,Medium
Q-00796,76,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which of the following war poems opens with the line “Bent double, like old beggars under sacks”?
Choose the correct answer from the options given below:","""The Soldier"" – Rupert Brooke","""Dulce et Decorum Est"" – Wilfred Owen","""The Old Huntsman"" – Siegfried Sassoon","""Undertones of War"" – Edmund Blunden",2,"The line “Bent double, like old beggars under sacks” is the opening of Wilfred Owen’s ""Dulce et Decorum Est"".  
The poem graphically portrays the physical and emotional toll of trench warfare, rejecting the notion of patriotic glory.",2,0,Easy
Q-00797,77,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Thomas Hardy’s ""The Dynasts"" (1904–08) is a major poetic-dramatic work about which war?
Choose the correct answer from the options given below:",World War I,Boer War,Napoleonic Wars,Crimean War,3,"Thomas Hardy’s epic verse drama ""The Dynasts"" deals with the Napoleonic Wars.  
It presents a panoramic historical vision interwoven with philosophical reflections on fate and human insignificance.",2,0,Easy
Q-00798,78,Paper 2,,Chapter 15: EARLY 20TH CENTURY LITERATURE (1901-1914),British Literature,SINGLECORRECT,"Which war poet wrote ""Green Days and Blue Skies"" under the imprint of his experiences in the First World War?
Choose the correct answer from the options given below:",Rupert Brooke,Wilfred Owen,Siegfried Sassoon,Edmund Blunden,4,"""Green Days and Blue Skies"" was written by Edmund Blunden, reflecting his World War I experiences.  
Blunden’s war poetry captures the contrast between pastoral beauty and battlefield devastation with understated emotion.",2,0,Medium
